,tweet_id,handle,retweet_count,text,mined_at,created_at
0,1233441223232245760,JeffBezos,2554,"Discussing climate, sustainability, and preserving the natural world with President @EmmanuelMacron today in Paris.… https://t.co/ry52OGekMH",2021-08-03 16:36:42.400558,Fri Feb 28 17:17:58 +0000 2020
1,1224154674804084736,JeffBezos,13443,"I just took a DNA test, turns out I’m 100% @lizzo’s biggest fan. #SBLIV https://t.co/RhOduXk8Qd",2021-08-03 16:36:42.400558,Mon Feb 03 02:16:32 +0000 2020
2,1222572705066536961,JeffBezos,2775,"Hey, Alexa — show everyone our upcoming Super Bowl ad. Thanks @TheEllenShow and @PortiaDeRossi! https://t.co/U8Qua3dhwg",2021-08-03 16:36:42.400558,Wed Jan 29 17:30:21 +0000 2020
3,1220059386694922240,JeffBezos,5441,#Jamal https://t.co/8ej1rUBXVb,2021-08-03 16:36:42.400558,Wed Jan 22 19:03:20 +0000 2020
4,1219093283265138688,JeffBezos,9970,"Hey, India. We’re rolling out our new fleet of electric delivery rickshaws. Fully electric. Zero carbon.… https://t.co/8hxC8IIL4o",2021-08-03 16:36:42.400558,Mon Jan 20 03:04:23 +0000 2020
5,1218864092825432064,JeffBezos,2560,Proud of the program we have in India to hire and train deaf associates at our delivery stations. Managers learn ba… https://t.co/WKFqhWhWRT,2021-08-03 16:36:42.400558,Sun Jan 19 11:53:39 +0000 2020
6,1218440995731316736,JeffBezos,2525,"Amazon partners with thousands of kirana stores all over India as delivery points. It’s good for customers, and it… https://t.co/RZq9lKzFCD",2021-08-03 16:36:42.400558,Sat Jan 18 07:52:25 +0000 2020
7,1218137485672251394,JeffBezos,5197,Lots of fun on stage with @iamsrk and Zoya Akhtar. https://t.co/wdZ2tEsySX,2021-08-03 16:36:42.400558,Fri Jan 17 11:46:23 +0000 2020
8,1217751342162173952,JeffBezos,753,Grabbing a quick selfie with @AmitAgarwal at India’s small business summit. Everyone squeeze in a little tighter!… https://t.co/MhPgAxIhSj,2021-08-03 16:36:42.400558,Thu Jan 16 10:11:59 +0000 2020
9,1217449121981718531,JeffBezos,3619,Dynamism. Energy. Democracy. #IndianCentury https://t.co/U6cKJO60Rz,2021-08-03 16:36:42.400558,Wed Jan 15 14:11:04 +0000 2020
10,1217100229993881600,JeffBezos,8594,Just landed in India and spent a beautiful afternoon paying my respects to someone who truly changed the world. “Li… https://t.co/AyPJhsYRNY,2021-08-03 16:36:42.400558,Tue Jan 14 15:04:42 +0000 2020
11,1207074776289697794,JeffBezos,502,Toured @LeeMontessori in Washington D.C. with a team from Day 1 Academies. It was great to meet these kids — they’r… https://t.co/ZfyJVCJLcV,2021-08-03 16:36:42.400558,Tue Dec 17 23:07:07 +0000 2019
12,1204964350936731649,JeffBezos,1429,Picture perfect flight @BlueOrigin. And this vehicle has now flown to space &amp; back six times making this a new mile… https://t.co/ibOCUlo55z,2021-08-03 16:36:42.400558,Thu Dec 12 03:21:03 +0000 2019
13,1197997251139784704,JeffBezos,1121,Nice! Amazon ranked #1 best managed company. Definitely the result of strong teamwork from people who care deeply a… https://t.co/W8IWKu1Loe,2021-08-03 16:36:42.400558,Fri Nov 22 21:56:17 +0000 2019
