,tweet_id,handle,retweet_count,text,mined_at,created_at
0,1422627025068695556,elonmusk,244,@Erdayastronaut @ErcXspace We stole the idea from Karate Kid,2021-08-03 16:36:38.236180,Tue Aug 03 18:34:48 +0000 2021
1,1422615364479897606,elonmusk,191,"@flcnhvy Pitch control requires more force than yaw &amp; much more force than roll. Also, grid fins closer to or in th… https://t.co/bIypFoQ2Cr",2021-08-03 16:36:38.236180,Tue Aug 03 17:48:28 +0000 2021
2,1422612139160834050,elonmusk,144,@TeslaFruit Thanks Sandy!,2021-08-03 16:36:38.236180,Tue Aug 03 17:35:39 +0000 2021
3,1422608233995382791,elonmusk,3527,https://t.co/nNjhPIEhcZ,2021-08-03 16:36:38.236180,Tue Aug 03 17:20:08 +0000 2021
4,1422607954101084161,elonmusk,8561,Super Heavy Booster moving to orbital launch mount https://t.co/axaDnXNm84,2021-08-03 16:36:38.236180,Tue Aug 03 17:19:01 +0000 2021
5,1422603106035118085,elonmusk,974,"@ErcXspace Very close to real! Arms are able to move during descent to match exact booster position. 

Catch point… https://t.co/XKR1oja7Dw",2021-08-03 16:36:38.236180,Tue Aug 03 16:59:45 +0000 2021
6,1422319161427042305,elonmusk,2587,@stem_feed That’s about right. Civilization can be powered with a very small % of Earth having solar panels.,2021-08-03 16:36:38.236180,Mon Aug 02 22:11:28 +0000 2021
7,1422318728742678529,elonmusk,683,"@Teslarati @KlenderJoey Hard to believe it’s been 15 years already. 

Those goals actually precede the creation of… https://t.co/jVKRGhGBtq",2021-08-03 16:36:38.236180,Mon Aug 02 22:09:44 +0000 2021
8,1422316848780087302,elonmusk,181,@RenataKonkoly @JonErlichman I was asked by a reporter if I was optimistic or pessimistic about SpaceX’s future. That was my answer.,2021-08-03 16:36:38.236180,Mon Aug 02 22:02:16 +0000 2021
9,1422313091568701442,elonmusk,557,@JonErlichman 2008 was an extremely tough year on every level,2021-08-03 16:36:38.236180,Mon Aug 02 21:47:20 +0000 2021
